Total words original: 98
Total words after filter: 75
Word Frequencies:
but: 6
complex: 5
they're: 4
it's: 3
self-made: 3
up-to-date: 3
bird: 2
book: 2
can't: 2
cold: 2
door: 2
fish: 2
he's: 2
no.way: 2
real-time: 2
she's: 2
short-term: 2
stone: 2
00.11.12.14: 1
11a?21: 1
apple: 1
bright: 1
build: 1
cat: 1
coffee: 1
dark: 1
don't: 1
file: 1
fruit: 1
have: 1
house: 1
jump: 1
low-cost: 1
mountain: 1
ocean: 1
rabbit: 1
rain: 1
sky: 1
think: 1
this: 1
tiger: 1
well-known: 1
wind: 1
won't: 1
world: 1
