Total words original: 98
Total words after filter: 80
Word Frequencies:
beautiful: 7
won't: 5
data: 4
for: 3
high-quality: 3
long-term: 3
open-source: 3
self-made: 3
short-term: 3
can't: 2
dark: 2
don't: 2
part-time: 2
people: 2
rain: 2
sad: 2
up-to-date: 2
warm: 2
well-known: 2
11a?21: 1
21-21: 1
build: 1
city: 1
come!on: 1
dog: 1
door: 1
file: 1
forest: 1
from: 1
have: 1
it's: 1
low-cost: 1
nature: 1
no.way: 1
place: 1
stone: 1
sugar: 1
that: 1
they're: 1
time: 1
wind: 1
with: 1
word: 1
world: 1
write: 1
